operation,comparison,n,mean_delta_us,median_delta_us,ci95_low_us,ci95_high_us,paired_hedges_g
exec,hook,30,8.5133,7.7935,5.0084,11.8465,0.8462
exec,map,30,0.4981,0.1775,-3.711,4.407,0.042
exec,enforcement,30,11.3117,10.0978,6.8715,15.9238,0.8395
exec,full_vs_map,30,2.3004,-2.2917,-2.7739,7.8875,0.146
file,hook,30,3.924,4.0716,3.6683,4.172,5.3996
file,map,30,0.0382,0.2142,-0.3275,0.3803,0.0371
file,enforcement,30,4.0249,4.0988,3.7883,4.2414,6.0374
file,full_vs_map,30,0.0627,-0.1153,-0.2651,0.3994,0.0651
network,hook,30,12.7405,12.5077,11.9094,13.6063,5.202
network,map,30,0.3904,-0.3166,-1.2073,2.0539,0.0814
network,enforcement,30,12.3085,11.8995,11.3925,13.324,4.362
network,full_vs_map,30,-0.8224,-0.0523,-2.3043,0.6024,-0.1961
