condition,n_total_runs,n_with_value,mean_ms,median_ms,sd_ms,min_ms,max_ms,p5_ms,p25_ms,p75_ms,p95_ms,experiment,metric,n_success,n_failed
a1-nominal__delta_pr,30,30,54.74200970000001,53.8233265,29.870571527504648,11.075887,101.82571,14.82668595,28.46059925,80.28166625,99.07009425,A1,delta_pr,30,0
a1-nominal__delta_rc,30,30,2882.0693744666664,614.8451789999999,4630.878187346294,612.631194,13926.27664,612.7544537,613.5087532499999,615.99462875,11729.47970315,A1,delta_rc,30,0
a2-delay-0ms__delta_pr,20,20,49.2800285,53.363143,29.443766402174806,9.73254,101.858027,15.20134705,20.52346975,61.37401199999999,99.38175415,A2,delta_pr,20,0
a2-delay-0ms__delta_rc,20,20,2913.6990082,618.1953659999999,4737.984803747026,616.517391,13983.618775,616.6247732999999,617.1607152500001,618.7301925,11723.091863600002,A2,delta_rc,20,0
a2-delay-1000ms__delta_pr,20,20,45.9446273,47.685489000000004,27.245996648302985,8.320032,84.738569,9.04263905,22.509936,69.75672524999999,81.8042204,A2,delta_pr,20,0
a2-delay-1000ms__delta_rc,20,20,3013.7826593,625.157588,4909.065931456686,623.663306,13533.597984,623.76868475,624.512444,625.8479105,12535.519891900001,A2,delta_rc,20,0
a2-delay-250ms__delta_pr,20,20,50.1111541,62.4153915,25.62133549594216,7.326743,83.286291,15.80334315,21.683141,70.957029,78.91669475,A2,delta_pr,20,0
a2-delay-250ms__delta_rc,20,20,1201.9874408,622.4352945,2591.9410027455774,621.367605,12213.924007,621.4751621,621.9035102500001,623.007755,1203.0633727500083,A2,delta_rc,20,0
a2-delay-50ms__delta_pr,20,20,46.86785415,49.254884000000004,26.44407818718258,7.688386,99.499572,9.209677999999998,24.346771500000003,66.96126824999999,81.43196850000001,A2,delta_pr,20,0
a2-delay-50ms__delta_rc,20,20,2319.15001705,620.075439,4151.456941091201,618.927081,12337.003781,619.04492565,619.47113825,621.022587,11866.32254845,A2,delta_rc,20,0
a3-concurrency-1__delta_pr,5,5,49.0415358,35.901223,20.31689258284538,33.238581,78.023512,33.606941000000006,35.080381,62.963982,75.011606,A3,delta_pr,5,0
a3-concurrency-1__delta_rc,5,5,634.5729246,634.573632,0.1164433530189329,634.425008,634.719943,634.4399530000001,634.499733,634.646307,634.7052157999999,A3,delta_rc,5,0
a3-concurrency-10__delta_pr,50,50,92.90680588000001,69.724887,133.75433892699803,10.593326,728.728324,16.0349236,43.386355249999994,81.190918,305.1693782999989,A3,delta_pr,50,0
a3-concurrency-10__delta_rc,50,50,2253.85234628,635.2439825,4053.94466528039,634.793099,12514.211261,634.79369575,634.9435504999999,635.38510175,12283.775883649998,A3,delta_rc,50,0
a3-concurrency-50__delta_pr,250,238,9197.457196046218,7739.6018765,8124.1221663413,6.801029,31594.507191,31.07509585,1815.3199455,15073.9924895,25590.785052799994,A3,delta_pr,238,12
a3-concurrency-50__delta_rc,250,238,18200.19020355042,20267.625569999997,9066.794080765469,366.814305,37163.699106,637.1942309,16144.58334425,22282.580065000002,32878.577674349996,A3,delta_rc,238,12
