op,block,order,outcome,n,git_commit,on_wall_seconds,off_wall_seconds,on_cpu_total_seconds,off_cpu_total_seconds,on_usec_per_op,off_usec_per_op,diff_usec_per_op,on_n_errors,off_n_errors
exec,1,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.928755925,0.79369575,0.943478,0.8058179999999999,471.739,402.90899999999993,68.83000000000004,0,0
exec,2,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.92428709,0.766729087,0.94112,0.7873240000000001,470.56,393.66200000000003,76.89799999999997,0,0
exec,3,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.925712379,0.777740191,0.9436319999999999,0.793365,471.8159999999999,396.6825,75.13349999999991,0,0
exec,4,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.936341034,0.772220538,0.950148,0.7902390000000001,475.074,395.1195000000001,79.95449999999994,0,0
exec,5,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.951949006,0.870368842,0.9629010000000001,0.8450890000000001,481.45050000000003,422.5445000000001,58.90599999999995,0,0
exec,6,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.93201952,0.76781009,0.945081,0.787125,472.5405,393.5625,78.97800000000001,0,0
exec,7,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.94136741,0.765800481,0.957269,0.7854180000000001,478.6345,392.70900000000006,85.92549999999994,0,0
exec,8,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.939889084,0.769560148,0.9466749999999999,0.788494,473.3374999999999,394.247,79.0904999999999,0,0
exec,9,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.923495922,0.771073281,0.9400850000000001,0.792648,470.0425000000001,396.324,73.71850000000006,0,0
exec,10,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.926052174,0.767515858,0.9396380000000001,0.7867019999999999,469.8190000000001,393.35099999999994,76.46800000000013,0,0
exec,11,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.929453865,0.776161994,0.944563,0.795444,472.2815,397.722,74.55950000000001,0,0
exec,12,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.931146361,0.773405116,0.9460339999999999,0.791202,473.01699999999994,395.601,77.41599999999994,0,0
exec,13,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.923381016,0.772265209,0.94033,0.792334,470.165,396.167,73.99800000000005,0,0
exec,14,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.920233679,0.769025372,0.936419,0.789297,468.2095,394.6485,73.56099999999998,0,0
exec,15,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.925268029,0.775730849,0.942186,0.791056,471.093,395.528,75.565,0,0
exec,16,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.93290154,0.767925216,0.941821,0.787021,470.9105,393.5105,77.40000000000003,0,0
exec,17,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.929941819,0.766200855,0.94702,0.787279,473.51,393.6395,79.87049999999999,0,0
exec,18,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.926583764,0.823556198,0.941694,0.804637,470.847,402.3185,68.52850000000001,0,0
exec,19,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.926969256,0.781096632,0.944958,0.8002560000000001,472.479,400.12800000000004,72.35099999999994,0,0
exec,20,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.927850249,0.765883733,0.9421660000000001,0.784422,471.0830000000001,392.211,78.87200000000007,0,0
exec,21,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.927029712,0.774238227,0.944698,0.792002,472.349,396.001,76.34800000000001,0,0
exec,22,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.933179716,0.781763686,0.9472720000000001,0.7999440000000001,473.6360000000001,399.97200000000004,73.66400000000004,0,0
exec,23,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.925745513,0.779356423,0.9415340000000001,0.794316,470.76700000000005,397.158,73.60900000000004,0,0
exec,24,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.92918539,0.781967515,0.945176,0.8004420000000001,472.588,400.22100000000006,72.36699999999996,0,0
exec,25,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.935025052,0.773835633,0.9528220000000001,0.793497,476.411,396.7485,79.66250000000002,0,0
exec,26,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.949202146,0.781628956,0.9622400000000001,0.7992250000000001,481.12000000000006,399.61250000000007,81.5075,0,0
exec,27,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.930149179,0.769946705,0.949545,0.790232,474.7725,395.116,79.6565,0,0
exec,28,0,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.920778558,0.775775581,0.940473,0.7886789999999999,470.2365,394.33949999999993,75.89700000000005,0,0
exec,29,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.933602285,0.821271264,0.948788,0.795965,474.394,397.9825,76.41149999999999,0,0
exec,30,1,success,2000,63f7cadf07afce38e34a8b2446627026234590c7,0.924790097,0.773505524,0.9419620000000001,0.7906460000000001,470.98100000000005,395.32300000000004,75.65800000000002,0,0
file,1,0,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.114501368,0.048351255,0.11333200000000002,0.048856,5.666600000000001,2.4428,3.2238000000000007,0,0
file,2,1,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.095669023,0.048282078,0.073846,0.048745,3.6923,2.43725,1.2550499999999998,0,0
file,3,1,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.123858972,0.048640098,0.121643,0.049071000000000004,6.08215,2.45355,3.6286000000000005,0,0
file,4,1,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.130326352,0.048992106,0.129812,0.049409999999999996,6.490600000000001,2.4704999999999995,4.020100000000001,0,0
file,5,1,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.121380784,0.048644292,0.120295,0.049031000000000005,6.01475,2.4515500000000006,3.5631999999999997,0,0
file,6,0,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.130121941,0.049788073,0.128617,0.049908999999999995,6.43085,2.4954499999999995,3.935400000000001,0,0
file,7,0,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.123084686,0.048484043,0.120423,0.048759,6.02115,2.43795,3.5831999999999997,0,0
file,8,0,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.123531662,0.049132532,0.122303,0.049423999999999996,6.11515,2.4711999999999996,3.6439500000000002,0,0
file,9,0,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.116091873,0.052829137,0.116532,0.053499,5.8266,2.67495,3.15165,0,0
file,10,0,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.111045752,0.048095145,0.111244,0.048103999999999994,5.5622,2.4052,3.157,0,0
file,11,1,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.120880498,0.048239244,0.12135099999999999,0.048697,6.067549999999999,2.43485,3.632699999999999,0,0
file,12,1,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.101055993,0.048480097,0.099652,0.048993999999999996,4.9826,2.4496999999999995,2.5329,0,0
file,13,0,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.112226174,0.048588434,0.111563,0.049062,5.57815,2.4531,3.12505,0,0
file,14,0,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.126463669,0.0486323,0.125976,0.049115,6.2988,2.45575,3.84305,0,0
file,15,1,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.117195981,0.049910201,0.11663799999999999,0.049797999999999995,5.831899999999999,2.4898999999999996,3.3419999999999996,0,0
file,16,0,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.128684031,0.048214638,0.127241,0.048716999999999996,6.36205,2.43585,3.9262,0,0
file,17,1,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.140412353,0.048665886,0.13841900000000001,0.048963999999999994,6.92095,2.4481999999999995,4.472750000000001,0,0
file,18,1,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.138163041,0.049990019,0.136072,0.050454,6.8036,2.5227,4.280900000000001,0,0
file,19,0,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.121175297,0.048575901,0.119424,0.048912,5.9712,2.4456,3.5255999999999994,0,0
file,20,1,success,20000,63f7cadf07afce38e34a8b2446627026234590c7,0.132035867,0.048509626,0.131055,0.048985,6.55275,2.44925,4.1034999999999995,0,0
network,1,1,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.119927577,0.047177477,0.12471299999999999,0.047867,24.9426,9.5734,15.3692,5000,5000
network,2,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.120845298,0.053146834,0.124789,0.054015,24.9578,10.803,14.154799999999998,5000,5000
network,3,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.097934525,0.048505041,0.099369,0.048884,19.8738,9.7768,10.097,5000,5000
network,4,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.094964715,0.047721501,0.094638,0.048564,18.9276,9.7128,9.214800000000002,5000,5000
network,5,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.110605638,0.047495101,0.11394599999999999,0.04825,22.789199999999997,9.65,13.139199999999997,5000,5000
network,6,1,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.104848893,0.047242453,0.106971,0.048092,21.3942,9.6184,11.775800000000002,5000,5000
network,7,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.093415862,0.047516178,0.09309399999999998,0.048077999999999996,18.618799999999997,9.615599999999999,9.003199999999998,5000,5000
network,8,1,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.106047225,0.048629674,0.110778,0.049565,22.1556,9.913,12.2426,5000,5000
network,9,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.09604584,0.048512362,0.09437400000000001,0.049366,18.874800000000004,9.8732,9.001600000000003,5000,5000
network,10,1,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.102728782,0.055618943,0.10466,0.057513,20.932,11.5026,9.4294,5000,5000
network,11,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.099618008,0.047734578,0.101085,0.048682,20.217,9.7364,10.480599999999999,5000,5000
network,12,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.103905723,0.047548553,0.09711999999999998,0.048498,19.423999999999996,9.6996,9.724399999999996,5000,5000
network,13,1,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.100145533,0.054339348,0.10147899999999999,0.055199,20.295799999999996,11.0398,9.255999999999997,5000,5000
network,14,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.097235398,0.048644394,0.09803100000000001,0.049528,19.6062,9.9056,9.700600000000001,5000,5000
network,15,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.106128906,0.047088367,0.10880300000000001,0.048046000000000005,21.760600000000004,9.609200000000001,12.151400000000002,5000,5000
network,16,1,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.103745717,0.047940123,0.105761,0.048554,21.1522,9.7108,11.4414,5000,5000
network,17,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.093570009,0.047139561,0.092467,0.047492000000000006,18.4934,9.498400000000002,8.995,5000,5000
network,18,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.101621261,0.052817096,0.10423900000000001,0.054743,20.847800000000003,10.9486,9.899200000000002,5000,5000
network,19,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.099196824,0.048622598,0.099382,0.049623,19.8764,9.9246,9.9518,5000,5000
network,20,0,success,5000,63f7cadf07afce38e34a8b2446627026234590c7,0.102173869,0.047887458,0.102188,0.048854,20.4376,9.7708,10.6668,5000,5000
file,21,0,success,20000,e0109d09e9d57a1549938bd61f2a23a24bc468bd,0.161889598,0.069862636,0.091995,0.069048,4.59975,3.4524,1.1473500000000003,0,0
file,22,0,success,20000,e0109d09e9d57a1549938bd61f2a23a24bc468bd,0.145161826,0.069920758,0.08892900000000001,0.067967,4.4464500000000005,3.39835,1.0481000000000003,0,0
file,23,1,success,20000,e0109d09e9d57a1549938bd61f2a23a24bc468bd,0.108481543,0.07094434,0.076732,0.069022,3.8366,3.4511,0.38549999999999995,0,0
file,24,1,success,20000,e0109d09e9d57a1549938bd61f2a23a24bc468bd,0.103424894,0.070758977,0.07429,0.069277,3.7145,3.46385,0.25065000000000026,0,0
file,25,0,success,20000,e0109d09e9d57a1549938bd61f2a23a24bc468bd,0.154762853,0.069043806,0.08968000000000001,0.06850200000000001,4.484000000000001,3.425100000000001,1.0589,0,0
file,26,1,success,20000,e0109d09e9d57a1549938bd61f2a23a24bc468bd,0.100139194,0.070486334,0.074734,0.06842,3.7367,3.421,0.3157000000000001,0,0
file,27,0,success,20000,e0109d09e9d57a1549938bd61f2a23a24bc468bd,0.179743462,0.079646931,0.087122,0.072308,4.3561,3.6154,0.7406999999999995,0,0
