op,concurrency,rep,run_id,outcome,git_commit,n_per_worker,total_ops,total_errors,wall_seconds,cpu_total_seconds,agg_ops_per_second,drop_count,events_dropped_since_last_evidence,incorporated_count
exec,1,1,f4-c1-rep1-1409,success,63f7cadf07afce38e34a8b2446627026234590c7,1500,1500,0,0.69342775,0.705859,2163.1669629604526,0,0,28508
exec,1,2,f4-c1-rep2-25882,success,63f7cadf07afce38e34a8b2446627026234590c7,1500,1500,0,0.692174214,0.704376,2167.084484889522,0,0,28508
exec,1,3,f4-c1-rep3-11163,success,63f7cadf07afce38e34a8b2446627026234590c7,1500,1500,0,0.69453211,0.7087490000000001,2159.727359473704,0,0,28508
exec,2,1,f4-c2-rep1-21692,success,63f7cadf07afce38e34a8b2446627026234590c7,1500,3000,0,1.031232986,3.199913,2909.138905298749,0,0,57008
exec,2,2,f4-c2-rep2-30795,success,63f7cadf07afce38e34a8b2446627026234590c7,1500,3000,0,1.011153164,3.228301,2966.909570981672,0,0,57008
exec,2,3,f4-c2-rep3-16156,success,63f7cadf07afce38e34a8b2446627026234590c7,1500,3000,0,1.01349543,3.226867,2960.052814446336,0,0,57008
exec,4,1,f4-c4-rep1-14262,success,63f7cadf07afce38e34a8b2446627026234590c7,1500,6000,0,2.007030119,13.015447000000002,2989.4917585937833,0,0,114008
exec,4,2,f4-c4-rep2-31439,success,63f7cadf07afce38e34a8b2446627026234590c7,1500,6000,0,2.025905127,13.132328000000001,2961.6391804511186,0,0,114008
exec,4,3,f4-c4-rep3-17785,success,63f7cadf07afce38e34a8b2446627026234590c7,1500,6000,0,1.992046325,12.977370999999998,3011.978147646742,0,0,114008
exec,8,1,f4-c8-rep1-4773,success,63f7cadf07afce38e34a8b2446627026234590c7,1500,12000,0,4.077233221,52.281717,2943.1723302442892,0,0,228008
exec,8,2,f4-c8-rep2-4011,success,63f7cadf07afce38e34a8b2446627026234590c7,1500,12000,0,4.005202352,52.062414999999994,2996.103303996062,0,0,228008
exec,8,3,f4-c8-rep3-19743,success,63f7cadf07afce38e34a8b2446627026234590c7,1500,12000,0,3.991175484,52.10797,3006.6330202984377,0,0,228008
