pod_name,uid_a,uid_b,uid_changed,applied_cgroups_unchanged,refusal_log_confirmed,evidence_incorrectly_bound_to_b,policy_did_not_bind_to_b
d1-recreate-1-23610,5c15c390-5b67-4871-a299-290af9e4f088,4bd627dc-3b9f-49c9-b192-5a2e5a9d1a55,True,True,True,False,True
d1-recreate-2-696,ceb5ae47-3998-416e-a5c3-1d26f226fb45,c3998435-6c32-4d79-bc34-6b66bcfc8570,True,True,True,False,True
d1-recreate-3-1754,ed18f1a3-f62f-44df-9ccb-375d12656933,4e750d01-431a-40c4-b41a-21bbd7c6a7d5,True,True,True,False,True
d1-recreate-4-9036,20290513-bd44-48d9-a413-49cda640dac1,5337adc4-b340-49a4-9bf6-a9691afb48c6,True,True,True,False,True
d1-recreate-5-12087,11a5d1e7-6297-4112-9294-a3156810f1cf,b903fb36-94af-4246-8360-287e87af20aa,True,True,True,False,True
d1-recreate-6-32560,2225c8c8-9a1f-4922-99ca-de5f87886900,32265ec2-670d-4389-ae68-cd77bc793aa1,True,True,True,False,True
d1-recreate-7-21930,4c9e6a07-4b5c-46a7-af4c-3963149480ba,e2d24d68-2b47-4d4e-a661-675a80379559,True,True,True,False,True
d1-recreate-8-31433,3514abed-9e1d-4980-af68-8b071e424672,4195654d-f864-4f78-8eb0-fc00a3202883,True,True,True,False,True
d1-recreate-9-31348,4e6c60a0-9022-4058-b132-26ceac9eb1c8,1119d944-1d66-434f-b5d0-de6a2944135c,True,True,True,False,True
d1-recreate-10-11364,6e246551-ef72-4956-a70e-3dc1a82c6a2c,cde920fe-0017-41b3-8d0c-67008238c149,True,True,True,False,True
