n,rep,run_id,n_converged,n_timed_out,n_failed,convergence_rate,ready_time_mean,ready_time_max,ready_time_min,operator_cpu_milli_max,operator_mem_bytes_max,agent_cpu_milli_max,agent_mem_bytes_max,n_metrics_samples,outcome,git_commit
1,1,e1-n1-rep1-13363,1,0,0,1.0,2.000384569168091,2.000384569168091,2.000384569168091,1,22945792,2,83996672,1,success,e98add2778b789031c63f479db8c8b5c7f3f787b
1,2,e1-n1-rep2-12441,1,0,0,1.0,5.000355243682861,5.000355243682861,5.000355243682861,3,29241344,2,83996672,2,success,e98add2778b789031c63f479db8c8b5c7f3f787b
1,3,e1-n1-rep3-7811,1,0,0,1.0,2.0003795623779297,2.0003795623779297,2.0003795623779297,3,33181696,2,83996672,1,success,e98add2778b789031c63f479db8c8b5c7f3f787b
10,1,e1-n10-rep1-11329,10,0,0,1.0,2.500498414039612,2.5006351470947266,2.5004565715789795,3,27062272,2,84385792,1,success,e98add2778b789031c63f479db8c8b5c7f3f787b
10,2,e1-n10-rep2-4840,10,0,0,1.0,2.001955032348633,2.0022122859954834,2.0018980503082275,14,37982208,3,87048192,1,success,e98add2778b789031c63f479db8c8b5c7f3f787b
10,3,e1-n10-rep3-4116,10,0,0,1.0,5.252927494049072,6.0008463859558105,1.000744104385376,16,35926016,11,97411072,3,success,e98add2778b789031c63f479db8c8b5c7f3f787b
50,1,e1-n50-rep1-23003,50,0,0,1.0,9.991383118629455,18.00119137763977,5.499982833862305,19,35921920,11,99246080,9,success,e98add2778b789031c63f479db8c8b5c7f3f787b
50,2,e1-n50-rep2-9479,50,0,0,1.0,10.711980299949646,20.003318071365356,5.500975131988525,36,42430464,84,111312896,10,success,e98add2778b789031c63f479db8c8b5c7f3f787b
50,3,e1-n50-rep3-22095,50,0,0,1.0,9.82063229560852,16.00089168548584,2.499878406524658,41,34447360,84,111456256,8,success,e98add2778b789031c63f479db8c8b5c7f3f787b
100,1,e1-n100-rep1-1553,85,0,15,0.85,20.24388796862434,44.000470876693726,2.5014023780822754,74,41947136,87,111390720,22,success,e98add2778b789031c63f479db8c8b5c7f3f787b
100,2,e1-n100-rep2-4518,100,0,0,1.0,32.87125904798508,55.99989318847656,3.0010969638824463,75,37560320,136,109191168,28,success,e98add2778b789031c63f479db8c8b5c7f3f787b
100,3,e1-n100-rep3-8326,100,0,0,1.0,20.13594341993332,42.998626947402954,2.500593662261963,109,41848832,145,111931392,21,success,e98add2778b789031c63f479db8c8b5c7f3f787b
